Conversion Type,% Chance of Failure
"New Religion: DrownedGod, Current Religion: DrownedGodII, Population: 200000, Control: 100, Own Province: False",74.37
"New Religion: DrownedGod, Current Religion: DrownedGodII, Population: 250000, Control: 85, Own Province: True",74.2
"New Religion: DrownedGod, Current Religion: DrownedGodII, Population: 250000, Control: 85, Own Province: False",74.24
"New Religion: DrownedGod, Current Religion: DrownedGodII, Population: 250000, Control: 90, Own Province: True",74.89
"New Religion: DrownedGod, Current Religion: DrownedGodII, Population: 250000, Control: 90, Own Province: False",74.37
"New Religion: DrownedGod, Current Religion: DrownedGodII, Population: 250000, Control: 95, Own Province: True",73.9
"New Religion: DrownedGod, Current Religion: DrownedGodII, Population: 250000, Control: 95, Own Province: False",74.97
"New Religion: DrownedGod, Current Religion: DrownedGodII, Population: 250000, Control: 100, Own Province: True",73.88
"New Religion: DrownedGod, Current Religion: DrownedGodII, Population: 250000, Control: 100, Own Province: False",74.12
"New Religion: DrownedGod, Current Religion: DrownedGodII, Population: 300000, Control: 85, Own Province: True",74.17
"New Religion: DrownedGod, Current Religion: DrownedGodII, Population: 300000, Control: 85, Own Province: False",75.09
"New Religion: DrownedGod, Current Religion: DrownedGodII, Population: 300000, Control: 90, Own Province: True",73.87
"New Religion: DrownedGod, Current Religion: DrownedGodII, Population: 300000, Control: 90, Own Province: False",74.37
"New Religion: DrownedGod, Current Religion: DrownedGodII, Population: 300000, Control: 95, Own Province: True",73.84
"New Religion: DrownedGod, Current Religion: DrownedGodII, Population: 300000, Control: 95, Own Province: False",74.17
"New Religion: DrownedGod, Current Religion: DrownedGodII, Population: 300000, Control: 100, Own Province: True",74.49
"New Religion: DrownedGod, Current Religion: DrownedGodII, Population: 300000, Control: 100, Own Province: False",74.42
"New Religion: DrownedGod, Current Religion: Mother Rhoyne, Population: 1000, Control: 85, Own Province: True",48.07
"New Religion: DrownedGod, Current Religion: Mother Rhoyne, Population: 1000, Control: 85, Own Province: False",48.81
"New Religion: DrownedGod, Current Religion: Mother Rhoyne, Population: 1000, Control: 90, Own Province: True",34.48
"New Religion: DrownedGod, Current Religion: Mother Rhoyne, Population: 1000, Control: 90, Own Province: False",61.36
"New Religion: DrownedGod, Current Religion: Mother Rhoyne, Population: 1000, Control: 95, Own Province: True",23.62
"New Religion: DrownedGod, Current Religion: Mother Rhoyne, Population: 1000, Control: 95, Own Province: False",74.34
"New Religion: DrownedGod, Current Religion: Mother Rhoyne, Population: 1000, Control: 100, Own Province: True",14.3
"New Religion: DrownedGod, Current Religion: Mother Rhoyne, Population: 1000, Control: 100, Own Province: False",74.58
"New Religion: DrownedGod, Current Religion: Mother Rhoyne, Population: 50000, Control: 85, Own Province: True",60.96
"New Religion: DrownedGod, Current Religion: Mother Rhoyne, Population: 50000, Control: 85, Own Province: False",61.56
"New Religion: DrownedGod, Current Religion: Mother Rhoyne, Population: 50000, Control: 90, Own Province: True",48.06
"New Religion: DrownedGod, Current Religion: Mother Rhoyne, Population: 50000, Control: 90, Own Province: False",73.98
"New Religion: DrownedGod, Current Religion: Mother Rhoyne, Population: 50000, Control: 95, Own Province: True",34.83
"New Religion: DrownedGod, Current Religion: Mother Rhoyne, Population: 50000, Control: 95, Own Province: False",73.79
"New Religion: DrownedGod, Current Religion: Mother Rhoyne, Population: 50000, Control: 100, Own Province: True",24.42
"New Religion: DrownedGod, Current Religion: Mother Rhoyne, Population: 50000, Control: 100, Own Province: False",74.25
"New Religion: DrownedGod, Current Religion: Mother Rhoyne, Population: 100000, Control: 85, Own Province: True",73.88
"New Religion: DrownedGod, Current Religion: Mother Rhoyne, Population: 100000, Control: 85, Own Province: False",74.24
"New Religion: DrownedGod, Current Religion: Mother Rhoyne, Population: 100000, Control: 90, Own Province: True",61.21
"New Religion: DrownedGod, Current Religion: Mother Rhoyne, Population: 100000, Control: 90, Own Province: False",74.95
"New Religion: DrownedGod, Current Religion: Mother Rhoyne, Population: 100000, Control: 95, Own Province: True",47.88
"New Religion: DrownedGod, Current Religion: Mother Rhoyne, Population: 100000, Control: 95, Own Province: False",74.29
"New Religion: DrownedGod, Current Religion: Mother Rhoyne, Population: 100000, Control: 100, Own Province: True",35.12
"New Religion: DrownedGod, Current Religion: Mother Rhoyne, Population: 100000, Control: 100, Own Province: False",74.97
"New Religion: DrownedGod, Current Religion: Mother Rhoyne, Population: 150000, Control: 85, Own Province: True",74.57
"New Religion: DrownedGod, Current Religion: Mother Rhoyne, Population: 150000, Control: 85, Own Province: False",75.01
"New Religion: DrownedGod, Current Religion: Mother Rhoyne, Population: 150000, Control: 90, Own Province: True",73.85
"New Religion: DrownedGod, Current Religion: Mother Rhoyne, Population: 150000, Control: 90, Own Province: False",74.59
"New Religion: DrownedGod, Current Religion: Mother Rhoyne, Population: 150000, Control: 95, Own Province: True",61.63
"New Religion: DrownedGod, Current Religion: Mother Rhoyne, Population: 150000, Control: 95, Own Province: False",74.35
"New Religion: DrownedGod, Current Religion: Mother Rhoyne, Population: 150000, Control: 100, Own Province: True",47.54
"New Religion: DrownedGod, Current Religion: Mother Rhoyne, Population: 150000, Control: 100, Own Province: False",73.88
"New Religion: DrownedGod, Current Religion: Mother Rhoyne, Population: 200000, Control: 85, Own Province: True",73.17
"New Religion: DrownedGod, Current Religion: Mother Rhoyne, Population: 200000, Control: 85, Own Province: False",74.33
"New Religion: DrownedGod, Current Religion: Mother Rhoyne, Population: 200000, Control: 90, Own Province: True",74.4
"New Religion: DrownedGod, Current Religion: Mother Rhoyne, Population: 200000, Control: 90, Own Province: False",73.67
"New Religion: DrownedGod, Current Religion: Mother Rhoyne, Population: 200000, Control: 95, Own Province: True",73.85
"New Religion: DrownedGod, Current Religion: Mother Rhoyne, Population: 200000, Control: 95, Own Province: False",73.68
"New Religion: DrownedGod, Current Religion: Mother Rhoyne, Population: 200000, Control: 100, Own Province: True",61.24
"New Religion: DrownedGod, Current Religion: Mother Rhoyne, Population: 200000, Control: 100, Own Province: False",74.91
"New Religion: DrownedGod, Current Religion: Mother Rhoyne, Population: 250000, Control: 85, Own Province: True",74.49
"New Religion: DrownedGod, Current Religion: Mother Rhoyne, Population: 250000, Control: 85, Own Province: False",74.56
"New Religion: DrownedGod, Current Religion: Mother Rhoyne, Population: 250000, Control: 90, Own Province: True",74.26
"New Religion: DrownedGod, Current Religion: Mother Rhoyne, Population: 250000, Control: 90, Own Province: False",73.85
"New Religion: DrownedGod, Current Religion: Mother Rhoyne, Population: 250000, Control: 95, Own Province: True",73.62
"New Religion: DrownedGod, Current Religion: Mother Rhoyne, Population: 250000, Control: 95, Own Province: False",74.85
"New Religion: DrownedGod, Current Religion: Mother Rhoyne, Population: 250000, Control: 100, Own Province: True",74.07
"New Religion: DrownedGod, Current Religion: Mother Rhoyne, Population: 250000, Control: 100, Own Province: False",74.18
"New Religion: DrownedGod, Current Religion: Mother Rhoyne, Population: 300000, Control: 85, Own Province: True",75.06
"New Religion: DrownedGod, Current Religion: Mother Rhoyne, Population: 300000, Control: 85, Own Province: False",73.82
"New Religion: DrownedGod, Current Religion: Mother Rhoyne, Population: 300000, Control: 90, Own Province: True",74.03
"New Religion: DrownedGod, Current Religion: Mother Rhoyne, Population: 300000, Control: 90, Own Province: False",74.37
"New Religion: DrownedGod, Current Religion: Mother Rhoyne, Population: 300000, Control: 95, Own Province: True",73.71
"New Religion: DrownedGod, Current Religion: Mother Rhoyne, Population: 300000, Control: 95, Own Province: False",74.5
"New Religion: DrownedGod, Current Religion: Mother Rhoyne, Population: 300000, Control: 100, Own Province: True",74.85
"New Religion: DrownedGod, Current Religion: Mother Rhoyne, Population: 300000, Control: 100, Own Province: False",74.53
"New Religion: DrownedGod, Current Religion: Gods of Valyria, Population: 1000, Control: 85, Own Province: True",48.76
"New Religion: DrownedGod, Current Religion: Gods of Valyria, Population: 1000, Control: 85, Own Province: False",48.37
"New Religion: DrownedGod, Current Religion: Gods of Valyria, Population: 1000, Control: 90, Own Province: True",35.42
"New Religion: DrownedGod, Current Religion: Gods of Valyria, Population: 1000, Control: 90, Own Province: False",61.72
"New Religion: DrownedGod, Current Religion: Gods of Valyria, Population: 1000, Control: 95, Own Province: True",23.68
"New Religion: DrownedGod, Current Religion: Gods of Valyria, Population: 1000, Control: 95, Own Province: False",74.55
"New Religion: DrownedGod, Current Religion: Gods of Valyria, Population: 1000, Control: 100, Own Province: True",13.31
"New Religion: DrownedGod, Current Religion: Gods of Valyria, Population: 1000, Control: 100, Own Province: False",73.94
"New Religion: DrownedGod, Current Religion: Gods of Valyria, Population: 50000, Control: 85, Own Province: True",61.12
"New Religion: DrownedGod, Current Religion: Gods of Valyria, Population: 50000, Control: 85, Own Province: False",61.16
"New Religion: DrownedGod, Current Religion: Gods of Valyria, Population: 50000, Control: 90, Own Province: True",47.31
"New Religion: DrownedGod, Current Religion: Gods of Valyria, Population: 50000, Control: 90, Own Province: False",73.51
"New Religion: DrownedGod, Current Religion: Gods of Valyria, Population: 50000, Control: 95, Own Province: True",35.02
"New Religion: DrownedGod, Current Religion: Gods of Valyria, Population: 50000, Control: 95, Own Province: False",73.75
"New Religion: DrownedGod, Current Religion: Gods of Valyria, Population: 50000, Control: 100, Own Province: True",24.0
"New Religion: DrownedGod, Current Religion: Gods of Valyria, Population: 50000, Control: 100, Own Province: False",74.04
"New Religion: DrownedGod, Current Religion: Gods of Valyria, Population: 100000, Control: 85, Own Province: True",74.18
"New Religion: DrownedGod, Current Religion: Gods of Valyria, Population: 100000, Control: 85, Own Province: False",74.74
"New Religion: DrownedGod, Current Religion: Gods of Valyria, Population: 100000, Control: 90, Own Province: True",61.19
"New Religion: DrownedGod, Current Religion: Gods of Valyria, Population: 100000, Control: 90, Own Province: False",73.85
"New Religion: DrownedGod, Current Religion: Gods of Valyria, Population: 100000, Control: 95, Own Province: True",47.82
"New Religion: DrownedGod, Current Religion: Gods of Valyria, Population: 100000, Control: 95, Own Province: False",74.6
"New Religion: DrownedGod, Current Religion: Gods of Valyria, Population: 100000, Control: 100, Own Province: True",34.69
"New Religion: DrownedGod, Current Religion: Gods of Valyria, Population: 100000, Control: 100, Own Province: False",73.75
"New Religion: DrownedGod, Current Religion: Gods of Valyria, Population: 150000, Control: 85, Own Province: True",75.04
"New Religion: DrownedGod, Current Religion: Gods of Valyria, Population: 150000, Control: 85, Own Province: False",74.61
"New Religion: DrownedGod, Current Religion: Gods of Valyria, Population: 150000, Control: 90, Own Province: True",74.13
"New Religion: DrownedGod, Current Religion: Gods of Valyria, Population: 150000, Control: 90, Own Province: False",74.47
"New Religion: DrownedGod, Current Religion: Gods of Valyria, Population: 150000, Control: 95, Own Province: True",61.43
"New Religion: DrownedGod, Current Religion: Gods of Valyria, Population: 150000, Control: 95, Own Province: False",73.94
"New Religion: DrownedGod, Current Religion: Gods of Valyria, Population: 150000, Control: 100, Own Province: True",47.95
"New Religion: DrownedGod, Current Religion: Gods of Valyria, Population: 150000, Control: 100, Own Province: False",74.2
"New Religion: DrownedGod, Current Religion: Gods of Valyria, Population: 200000, Control: 85, Own Province: True",74.94
"New Religion: DrownedGod, Current Religion: Gods of Valyria, Population: 200000, Control: 85, Own Province: False",73.99
"New Religion: DrownedGod, Current Religion: Gods of Valyria, Population: 200000, Control: 90, Own Province: True",73.84
"New Religion: DrownedGod, Current Religion: Gods of Valyria, Population: 200000, Control: 90, Own Province: False",74.09
"New Religion: DrownedGod, Current Religion: Gods of Valyria, Population: 200000, Control: 95, Own Province: True",75.11
"New Religion: DrownedGod, Current Religion: Gods of Valyria, Population: 200000, Control: 95, Own Province: False",74.45
"New Religion: DrownedGod, Current Religion: Gods of Valyria, Population: 200000, Control: 100, Own Province: True",62.24
"New Religion: DrownedGod, Current Religion: Gods of Valyria, Population: 200000, Control: 100, Own Province: False",73.85
"New Religion: DrownedGod, Current Religion: Gods of Valyria, Population: 250000, Control: 85, Own Province: True",74.36
"New Religion: DrownedGod, Current Religion: Gods of Valyria, Population: 250000, Control: 85, Own Province: False",74.39
"New Religion: DrownedGod, Current Religion: Gods of Valyria, Population: 250000, Control: 90, Own Province: True",74.35
"New Religion: DrownedGod, Current Religion: Gods of Valyria, Population: 250000, Control: 90, Own Province: False",73.88
"New Religion: DrownedGod, Current Religion: Gods of Valyria, Population: 250000, Control: 95, Own Province: True",74.39
"New Religion: DrownedGod, Current Religion: Gods of Valyria, Population: 250000, Control: 95, Own Province: False",74.39
"New Religion: DrownedGod, Current Religion: Gods of Valyria, Population: 250000, Control: 100, Own Province: True",73.91
"New Religion: DrownedGod, Current Religion: Gods of Valyria, Population: 250000, Control: 100, Own Province: False",74.02
"New Religion: DrownedGod, Current Religion: Gods of Valyria, Population: 300000, Control: 85, Own Province: True",74.01
"New Religion: DrownedGod, Current Religion: Gods of Valyria, Population: 300000, Control: 85, Own Province: False",74.06
"New Religion: DrownedGod, Current Religion: Gods of Valyria, Population: 300000, Control: 90, Own Province: True",74.83
"New Religion: DrownedGod, Current Religion: Gods of Valyria, Population: 300000, Control: 90, Own Province: False",74.47
"New Religion: DrownedGod, Current Religion: Gods of Valyria, Population: 300000, Control: 95, Own Province: True",74.46
"New Religion: DrownedGod, Current Religion: Gods of Valyria, Population: 300000, Control: 95, Own Province: False",73.39
"New Religion: DrownedGod, Current Religion: Gods of Valyria, Population: 300000, Control: 100, Own Province: True",74.57
"New Religion: DrownedGod, Current Religion: Gods of Valyria, Population: 300000, Control: 100, Own Province: False",74.23
"New Religion: DrownedGod, Current Religion: R'hllor, Population: 1000, Control: 85, Own Province: True",47.71
"New Religion: DrownedGod, Current Religion: R'hllor, Population: 1000, Control: 85, Own Province: False",47.82
"New Religion: DrownedGod, Current Religion: R'hllor, Population: 1000, Control: 90, Own Province: True",34.89
"New Religion: DrownedGod, Current Religion: R'hllor, Population: 1000, Control: 90, Own Province: False",61.24
"New Religion: DrownedGod, Current Religion: R'hllor, Population: 1000, Control: 95, Own Province: True",23.89
"New Religion: DrownedGod, Current Religion: R'hllor, Population: 1000, Control: 95, Own Province: False",74.36
"New Religion: DrownedGod, Current Religion: R'hllor, Population: 1000, Control: 100, Own Province: True",13.81
"New Religion: DrownedGod, Current Religion: R'hllor, Population: 1000, Control: 100, Own Province: False",73.45
"New Religion: DrownedGod, Current Religion: R'hllor, Population: 50000, Control: 85, Own Province: True",62.44
"New Religion: DrownedGod, Current Religion: R'hllor, Population: 50000, Control: 85, Own Province: False",60.99
"New Religion: DrownedGod, Current Religion: R'hllor, Population: 50000, Control: 90, Own Province: True",47.92
"New Religion: DrownedGod, Current Religion: R'hllor, Population: 50000, Control: 90, Own Province: False",73.39
"New Religion: DrownedGod, Current Religion: R'hllor, Population: 50000, Control: 95, Own Province: True",35.04
"New Religion: DrownedGod, Current Religion: R'hllor, Population: 50000, Control: 95, Own Province: False",74.1
"New Religion: DrownedGod, Current Religion: R'hllor, Population: 50000, Control: 100, Own Province: True",23.83
"New Religion: DrownedGod, Current Religion: R'hllor, Population: 50000, Control: 100, Own Province: False",73.53
"New Religion: DrownedGod, Current Religion: R'hllor, Population: 100000, Control: 85, Own Province: True",74.22
"New Religion: DrownedGod, Current Religion: R'hllor, Population: 100000, Control: 85, Own Province: False",74.39
"New Religion: DrownedGod, Current Religion: R'hllor, Population: 100000, Control: 90, Own Province: True",61.8
"New Religion: DrownedGod, Current Religion: R'hllor, Population: 100000, Control: 90, Own Province: False",74.31
"New Religion: DrownedGod, Current Religion: R'hllor, Population: 100000, Control: 95, Own Province: True",47.92
"New Religion: DrownedGod, Current Religion: R'hllor, Population: 100000, Control: 95, Own Province: False",74.7
"New Religion: DrownedGod, Current Religion: R'hllor, Population: 100000, Control: 100, Own Province: True",35.28
"New Religion: DrownedGod, Current Religion: R'hllor, Population: 100000, Control: 100, Own Province: False",72.86
"New Religion: DrownedGod, Current Religion: R'hllor, Population: 150000, Control: 85, Own Province: True",73.99
"New Religion: DrownedGod, Current Religion: R'hllor, Population: 150000, Control: 85, Own Province: False",74.28
"New Religion: DrownedGod, Current Religion: R'hllor, Population: 150000, Control: 90, Own Province: True",73.9
"New Religion: DrownedGod, Current Religion: R'hllor, Population: 150000, Control: 90, Own Province: False",74.57
"New Religion: DrownedGod, Current Religion: R'hllor, Population: 150000, Control: 95, Own Province: True",61.83
"New Religion: DrownedGod, Current Religion: R'hllor, Population: 150000, Control: 95, Own Province: False",73.99
"New Religion: DrownedGod, Current Religion: R'hllor, Population: 150000, Control: 100, Own Province: True",47.6
"New Religion: DrownedGod, Current Religion: R'hllor, Population: 150000, Control: 100, Own Province: False",73.75
"New Religion: DrownedGod, Current Religion: R'hllor, Population: 200000, Control: 85, Own Province: True",73.66
"New Religion: DrownedGod, Current Religion: R'hllor, Population: 200000, Control: 85, Own Province: False",74.55
"New Religion: DrownedGod, Current Religion: R'hllor, Population: 200000, Control: 90, Own Province: True",74.84
"New Religion: DrownedGod, Current Religion: R'hllor, Population: 200000, Control: 90, Own Province: False",74.03
"New Religion: DrownedGod, Current Religion: R'hllor, Population: 200000, Control: 95, Own Province: True",74.38
"New Religion: DrownedGod, Current Religion: R'hllor, Population: 200000, Control: 95, Own Province: False",73.81
"New Religion: DrownedGod, Current Religion: R'hllor, Population: 200000, Control: 100, Own Province: True",62.01
"New Religion: DrownedGod, Current Religion: R'hllor, Population: 200000, Control: 100, Own Province: False",74.32
"New Religion: DrownedGod, Current Religion: R'hllor, Population: 250000, Control: 85, Own Province: True",73.4
"New Religion: DrownedGod, Current Religion: R'hllor, Population: 250000, Control: 85, Own Province: False",74.11
"New Religion: DrownedGod, Current Religion: R'hllor, Population: 250000, Control: 90, Own Province: True",74.08
"New Religion: DrownedGod, Current Religion: R'hllor, Population: 250000, Control: 90, Own Province: False",74.34
"New Religion: DrownedGod, Current Religion: R'hllor, Population: 250000, Control: 95, Own Province: True",73.85
"New Religion: DrownedGod, Current Religion: R'hllor, Population: 250000, Control: 95, Own Province: False",74.29
"New Religion: DrownedGod, Current Religion: R'hllor, Population: 250000, Control: 100, Own Province: True",73.94
"New Religion: DrownedGod, Current Religion: R'hllor, Population: 250000, Control: 100, Own Province: False",74.71
"New Religion: DrownedGod, Current Religion: R'hllor, Population: 300000, Control: 85, Own Province: True",74.46
"New Religion: DrownedGod, Current Religion: R'hllor, Population: 300000, Control: 85, Own Province: False",74.4
"New Religion: DrownedGod, Current Religion: R'hllor, Population: 300000, Control: 90, Own Province: True",74.51
"New Religion: DrownedGod, Current Religion: R'hllor, Population: 300000, Control: 90, Own Province: False",74.16
"New Religion: DrownedGod, Current Religion: R'hllor, Population: 300000, Control: 95, Own Province: True",74.43
"New Religion: DrownedGod, Current Religion: R'hllor, Population: 300000, Control: 95, Own Province: False",74.31
"New Religion: DrownedGod, Current Religion: R'hllor, Population: 300000, Control: 100, Own Province: True",74.36
"New Religion: DrownedGod, Current Religion: R'hllor, Population: 300000, Control: 100, Own Province: False",75.27
"New Religion: DrownedGodII, Current Religion: Faith of the Seven, Population: 1000, Control: 85, Own Province: True",24.09
"New Religion: DrownedGodII, Current Religion: Faith of the Seven, Population: 1000, Control: 85, Own Province: False",23.58
"New Religion: DrownedGodII, Current Religion: Faith of the Seven, Population: 1000, Control: 90, Own Province: True",13.69
"New Religion: DrownedGodII, Current Religion: Faith of the Seven, Population: 1000, Control: 90, Own Province: False",34.98
"New Religion: DrownedGodII, Current Religion: Faith of the Seven, Population: 1000, Control: 95, Own Province: True",5.97
"New Religion: DrownedGodII, Current Religion: Faith of the Seven, Population: 1000, Control: 95, Own Province: False",48.33
"New Religion: DrownedGodII, Current Religion: Faith of the Seven, Population: 1000, Control: 100, Own Province: True",0.0
"New Religion: DrownedGodII, Current Religion: Faith of the Seven, Population: 1000, Control: 100, Own Province: False",60.69
"New Religion: DrownedGodII, Current Religion: Faith of the Seven, Population: 50000, Control: 85, Own Province: True",35.0
"New Religion: DrownedGodII, Current Religion: Faith of the Seven, Population: 50000, Control: 85, Own Province: False",34.95
"New Religion: DrownedGodII, Current Religion: Faith of the Seven, Population: 50000, Control: 90, Own Province: True",23.67
"New Religion: DrownedGodII, Current Religion: Faith of the Seven, Population: 50000, Control: 90, Own Province: False",48.48
"New Religion: DrownedGodII, Current Religion: Faith of the Seven, Population: 50000, Control: 95, Own Province: True",13.89
"New Religion: DrownedGodII, Current Religion: Faith of the Seven, Population: 50000, Control: 95, Own Province: False",61.97
"New Religion: DrownedGodII, Current Religion: Faith of the Seven, Population: 50000, Control: 100, Own Province: True",6.1
"New Religion: DrownedGodII, Current Religion: Faith of the Seven, Population: 50000, Control: 100, Own Province: False",74.29
"New Religion: DrownedGodII, Current Religion: Faith of the Seven, Population: 100000, Control: 85, Own Province: True",47.72
"New Religion: DrownedGodII, Current Religion: Faith of the Seven, Population: 100000, Control: 85, Own Province: False",47.58
"New Religion: DrownedGodII, Current Religion: Faith of the Seven, Population: 100000, Control: 90, Own Province: True",34.99
"New Religion: DrownedGodII, Current Religion: Faith of the Seven, Population: 100000, Control: 90, Own Province: False",61.41
"New Religion: DrownedGodII, Current Religion: Faith of the Seven, Population: 100000, Control: 95, Own Province: True",24.0
"New Religion: DrownedGodII, Current Religion: Faith of the Seven, Population: 100000, Control: 95, Own Province: False",73.96
"New Religion: DrownedGodII, Current Religion: Faith of the Seven, Population: 100000, Control: 100, Own Province: True",13.31
"New Religion: DrownedGodII, Current Religion: Faith of the Seven, Population: 100000, Control: 100, Own Province: False",74.28
"New Religion: DrownedGodII, Current Religion: Faith of the Seven, Population: 150000, Control: 85, Own Province: True",61.67
"New Religion: DrownedGodII, Current Religion: Faith of the Seven, Population: 150000, Control: 85, Own Province: False",61.61
"New Religion: DrownedGodII, Current Religion: Faith of the Seven, Population: 150000, Control: 90, Own Province: True",47.78
"New Religion: DrownedGodII, Current Religion: Faith of the Seven, Population: 150000, Control: 90, Own Province: False",74.66
"New Religion: DrownedGodII, Current Religion: Faith of the Seven, Population: 150000, Control: 95, Own Province: True",35.01
"New Religion: DrownedGodII, Current Religion: Faith of the Seven, Population: 150000, Control: 95, Own Province: False",73.86
"New Religion: DrownedGodII, Current Religion: Faith of the Seven, Population: 150000, Control: 100, Own Province: True",24.43
"New Religion: DrownedGodII, Current Religion: Faith of the Seven, Population: 150000, Control: 100, Own Province: False",74.25
"New Religion: DrownedGodII, Current Religion: Faith of the Seven, Population: 200000, Control: 85, Own Province: True",74.84
"New Religion: DrownedGodII, Current Religion: Faith of the Seven, Population: 200000, Control: 85, Own Province: False",74.67
"New Religion: DrownedGodII, Current Religion: Faith of the Seven, Population: 200000, Control: 90, Own Province: True",61.26
"New Religion: DrownedGodII, Current Religion: Faith of the Seven, Population: 200000, Control: 90, Own Province: False",74.31
"New Religion: DrownedGodII, Current Religion: Faith of the Seven, Population: 200000, Control: 95, Own Province: True",49.38
"New Religion: DrownedGodII, Current Religion: Faith of the Seven, Population: 200000, Control: 95, Own Province: False",74.08
"New Religion: DrownedGodII, Current Religion: Faith of the Seven, Population: 200000, Control: 100, Own Province: True",34.85
"New Religion: DrownedGodII, Current Religion: Faith of the Seven, Population: 200000, Control: 100, Own Province: False",74.24
"New Religion: DrownedGodII, Current Religion: Faith of the Seven, Population: 250000, Control: 85, Own Province: True",73.57
"New Religion: DrownedGodII, Current Religion: Faith of the Seven, Population: 250000, Control: 85, Own Province: False",73.81
"New Religion: DrownedGodII, Current Religion: Faith of the Seven, Population: 250000, Control: 90, Own Province: True",74.46
"New Religion: DrownedGodII, Current Religion: Faith of the Seven, Population: 250000, Control: 90, Own Province: False",74.41
"New Religion: DrownedGodII, Current Religion: Faith of the Seven, Population: 250000, Control: 95, Own Province: True",61.2
"New Religion: DrownedGodII, Current Religion: Faith of the Seven, Population: 250000, Control: 95, Own Province: False",74.0
"New Religion: DrownedGodII, Current Religion: Faith of the Seven, Population: 250000, Control: 100, Own Province: True",48.74
"New Religion: DrownedGodII, Current Religion: Faith of the Seven, Population: 250000, Control: 100, Own Province: False",74.75
"New Religion: DrownedGodII, Current Religion: Faith of the Seven, Population: 300000, Control: 85, Own Province: True",74.36
"New Religion: DrownedGodII, Current Religion: Faith of the Seven, Population: 300000, Control: 85, Own Province: False",73.94
"New Religion: DrownedGodII, Current Religion: Faith of the Seven, Population: 300000, Control: 90, Own Province: True",74.62
"New Religion: DrownedGodII, Current Religion: Faith of the Seven, Population: 300000, Control: 90, Own Province: False",74.75
"New Religion: DrownedGodII, Current Religion: Faith of the Seven, Population: 300000, Control: 95, Own Province: True",74.28
"New Religion: DrownedGodII, Current Religion: Faith of the Seven, Population: 300000, Control: 95, Own Province: False",74.56
"New Religion: DrownedGodII, Current Religion: Faith of the Seven, Population: 300000, Control: 100, Own Province: True",60.98
"New Religion: DrownedGodII, Current Religion: Faith of the Seven, Population: 300000, Control: 100, Own Province: False",73.91
"New Religion: DrownedGodII, Current Religion: Old Gods, Population: 1000, Control: 85, Own Province: True",13.57
"New Religion: DrownedGodII, Current Religion: Old Gods, Population: 1000, Control: 85, Own Province: False",13.36
"New Religion: DrownedGodII, Current Religion: Old Gods, Population: 1000, Control: 90, Own Province: True",5.82
"New Religion: DrownedGodII, Current Religion: Old Gods, Population: 1000, Control: 90, Own Province: False",23.45
"New Religion: DrownedGodII, Current Religion: Old Gods, Population: 1000, Control: 95, Own Province: True",0.0
"New Religion: DrownedGodII, Current Religion: Old Gods, Population: 1000, Control: 95, Own Province: False",35.38
"New Religion: DrownedGodII, Current Religion: Old Gods, Population: 1000, Control: 100, Own Province: True",0.0
"New Religion: DrownedGodII, Current Religion: Old Gods, Population: 1000, Control: 100, Own Province: False",48.57
"New Religion: DrownedGodII, Current Religion: Old Gods, Population: 50000, Control: 85, Own Province: True",24.83
"New Religion: DrownedGodII, Current Religion: Old Gods, Population: 50000, Control: 85, Own Province: False",24.2
"New Religion: DrownedGodII, Current Religion: Old Gods, Population: 50000, Control: 90, Own Province: True",14.47
"New Religion: DrownedGodII, Current Religion: Old Gods, Population: 50000, Control: 90, Own Province: False",35.28
"New Religion: DrownedGodII, Current Religion: Old Gods, Population: 50000, Control: 95, Own Province: True",5.84
"New Religion: DrownedGodII, Current Religion: Old Gods, Population: 50000, Control: 95, Own Province: False",48.39
"New Religion: DrownedGodII, Current Religion: Old Gods, Population: 50000, Control: 100, Own Province: True",0.0
"New Religion: DrownedGodII, Current Religion: Old Gods, Population: 50000, Control: 100, Own Province: False",60.93
"New Religion: DrownedGodII, Current Religion: Old Gods, Population: 100000, Control: 85, Own Province: True",35.11
"New Religion: DrownedGodII, Current Religion: Old Gods, Population: 100000, Control: 85, Own Province: False",35.14
"New Religion: DrownedGodII, Current Religion: Old Gods, Population: 100000, Control: 90, Own Province: True",24.64
"New Religion: DrownedGodII, Current Religion: Old Gods, Population: 100000, Control: 90, Own Province: False",48.65
"New Religion: DrownedGodII, Current Religion: Old Gods, Population: 100000, Control: 95, Own Province: True",13.94
"New Religion: DrownedGodII, Current Religion: Old Gods, Population: 100000, Control: 95, Own Province: False",61.2
"New Religion: DrownedGodII, Current Religion: Old Gods, Population: 100000, Control: 100, Own Province: True",5.91
"New Religion: DrownedGodII, Current Religion: Old Gods, Population: 100000, Control: 100, Own Province: False",73.79
"New Religion: DrownedGodII, Current Religion: Old Gods, Population: 150000, Control: 85, Own Province: True",47.7
"New Religion: DrownedGodII, Current Religion: Old Gods, Population: 150000, Control: 85, Own Province: False",47.68
"New Religion: DrownedGodII, Current Religion: Old Gods, Population: 150000, Control: 90, Own Province: True",34.9
"New Religion: DrownedGodII, Current Religion: Old Gods, Population: 150000, Control: 90, Own Province: False",62.99
"New Religion: DrownedGodII, Current Religion: Old Gods, Population: 150000, Control: 95, Own Province: True",24.83
"New Religion: DrownedGodII, Current Religion: Old Gods, Population: 150000, Control: 95, Own Province: False",74.96
